contact_id,session_id,topic_name,business_unit,application_channel,language,num_turns,contained,escalated_to_agent,csat_score,queue_name,session_duration_seconds,confidence_score,derived_resolution_score,session_start
CONT-7111955F,SESS-347BCB57,Order Status,Travel,Mobile App,pt,17,0,1,,Billing-Ops,513,0.4549,0.3184,2026-03-09T06:56:07
CONT-8AB12062,SESS-BE7F337E,Password Reset,Financial Services,Mobile App,en,10,1,0,3.1,,258,0.5932,0.7233,2026-04-01T16:20:51
CONT-D75CA2A2,SESS-2FE6CD5D,Product Support,Retail,Web,en,18,0,1,,Billing-Ops,941,0.6818,0.4773,2026-03-27T08:42:31
CONT-9EEB3C96,SESS-1F65241B,Product Support,Financial Services,Kiosk,en,6,0,1,2.4,Billing-Ops,259,0.6427,0.4011,2026-03-23T17:22:49
CONT-0D618B01,SESS-30F78706,Order Status,Travel,Mobile App,en,16,1,0,,,639,0.8268,0.8788,2026-03-11T21:23:44
CONT-D96F912D,SESS-A2463733,Technical Troubleshooting,Retail,Partner API,en,11,1,0,,,270,0.8733,0.9113,2026-03-13T03:12:42
CONT-8CB4E55B,SESS-85F59233,Subscription Management,Travel,IVR,en,17,1,0,4.0,,1573,0.9377,0.9151,2026-03-12T02:25:40
CONT-D6E98A00,SESS-7A821058,Technical Troubleshooting,Retail,Partner API,en,20,1,0,,,2436,0.8874,0.9212,2026-03-27T00:19:57
CONT-11B8571A,SESS-AE43D3ED,Account Management,Retail,Web,en,20,1,0,,,1804,1.0,1.0,2026-03-08T04:51:19
CONT-2709AEBF,SESS-5B267730,Product Support,Retail,IVR,en,12,1,0,,,607,0.477,0.6339,2026-03-10T06:13:31
CONT-43FA4E7C,SESS-B32D37F7,Password Reset,Technology,Partner API,en,7,1,0,,,579,0.7719,0.8403,2026-03-22T16:55:42
CONT-2D757D7B,SESS-010348C6,Product Support,Retail,Mobile App,pt,16,0,1,3.6,General-Service,554,0.7051,0.498,2026-03-22T02:09:40
CONT-18365829,SESS-72EB88C7,General Inquiry,Retail,IVR,es,4,1,0,,,136,0.7058,0.7941,2026-03-14T03:24:56
CONT-B6EF8E17,SESS-DC17A685,Billing Inquiry,Healthcare,Web,en,5,1,0,2.8,,114,0.8782,0.8193,2026-03-07T10:23:20
CONT-781C545A,SESS-ED602125,Loyalty Program,Healthcare,Web,fr,15,0,0,,,521,0.4849,0.3394,2026-04-03T18:25:02
CONT-D8001183,SESS-53C2CC11,Product Support,Healthcare,IVR,zh,13,0,1,4.9,Tech-Escalation,577,0.8326,0.627,2026-03-25T19:52:32
CONT-9189BF80,SESS-5F4EBF85,Technical Troubleshooting,Technology,Mobile App,en,9,0,1,,Tier1-Support,256,0.7913,0.5539,2026-04-03T15:19:04
CONT-1D393C13,SESS-44772D6D,Returns & Refunds,Retail,IVR,fr,18,1,0,4.0,,517,0.6548,0.8019,2026-04-05T13:35:11
CONT-EEB1E699,SESS-C8449DE2,Order Status,Healthcare,Partner API,en,12,1,0,3.2,,1402,1.0,0.892,2026-03-22T22:28:22
CONT-CE47B140,SESS-984BA1A1,Product Support,Healthcare,Kiosk,fr,2,1,0,,,47,0.4039,0.5827,2026-03-09T19:22:23
CONT-FADB000A,SESS-8735A602,Technical Troubleshooting,Healthcare,Web,es,7,1,0,1.5,,292,0.8399,0.726,2026-03-29T07:53:17
CONT-795CCD60,SESS-922A9782,Billing Inquiry,Travel,Kiosk,en,16,1,0,,,1296,0.4501,0.6151,2026-03-19T16:39:25
CONT-BB2E59F1,SESS-2E062CAD,Billing Inquiry,Travel,IVR,de,20,0,0,3.8,,292,0.5503,0.4481,2026-03-27T01:05:33
CONT-D922ABE2,SESS-5F2C32B5,Password Reset,Retail,Kiosk,zh,3,1,0,1.7,,79,1.0,0.802,2026-04-03T14:28:06
CONT-F3EC1AFF,SESS-C1971FE3,Loyalty Program,Technology,Mobile App,en,18,1,0,1.6,,165,0.6264,0.6466,2026-03-08T14:30:03
CONT-E8764E30,SESS-683D40A1,Loyalty Program,Healthcare,Mobile App,en,17,1,0,,,1160,0.4944,0.6461,2026-03-25T15:47:24
CONT-4FC9EAA0,SESS-AD0D48DF,Billing Inquiry,Financial Services,IVR,es,11,0,0,3.9,,466,0.8145,0.5598,2026-04-04T13:39:07
CONT-DE3E60DB,SESS-01D9B6BF,General Inquiry,Financial Services,Mobile App,en,16,1,0,,,637,0.7213,0.8049,2026-03-19T21:18:22
CONT-9C884F93,SESS-7CF10178,Loyalty Program,Financial Services,Partner API,en,17,1,0,,,1024,0.6948,0.7864,2026-04-01T09:38:38
CONT-8BEDA625,SESS-231B473C,Technical Troubleshooting,Retail,Kiosk,en,6,1,0,,,342,0.4734,0.6314,2026-03-28T17:00:41
CONT-55523DCD,SESS-462F62F3,Technical Troubleshooting,Travel,Web,pt,7,0,0,4.9,,477,0.8863,0.6485,2026-03-22T08:08:05
CONT-2609898C,SESS-3E2A8C42,Technical Troubleshooting,Travel,Mobile App,en,12,0,1,,Billing-Ops,876,0.3735,0.2614,2026-03-25T04:08:27
CONT-3E75E0F5,SESS-F0285D4D,General Inquiry,Financial Services,Web,en,11,0,0,3.8,,1087,0.7493,0.5277,2026-03-14T23:22:13
CONT-5BA7CE2D,SESS-2346CEB2,Billing Inquiry,Retail,Kiosk,es,1,0,1,,General-Service,7,0.4868,0.3408,2026-03-26T14:37:08
CONT-CA89E215,SESS-B287CEB4,Returns & Refunds,Healthcare,Kiosk,en,5,1,0,,,396,0.6821,0.7775,2026-03-20T17:55:49
CONT-5F4FBE7D,SESS-80A98764,Order Status,Travel,Mobile App,en,7,1,0,2.2,,267,0.7268,0.7227,2026-04-01T06:08:20
CONT-7EB5AA38,SESS-5939B525,Subscription Management,Technology,Mobile App,en,11,1,0,2.6,,1144,0.6445,0.7138,2026-03-20T02:04:39
CONT-C5778D07,SESS-33537362,Returns & Refunds,Technology,Web,en,13,1,0,,,235,0.9396,0.9577,2026-03-29T14:00:27
CONT-5EE1F53F,SESS-423DED92,Loyalty Program,Financial Services,Partner API,en,17,0,1,4.6,Billing-Ops,291,0.2695,0.3838,2026-03-27T13:20:25
CONT-445E6B4E,SESS-BA4FDBA2,General Inquiry,Technology,Web,en,10,0,1,2.3,Billing-Ops,1110,0.7462,0.4365,2026-03-13T08:09:38
CONT-A9BF70CE,SESS-6AEC564B,Order Status,Travel,Kiosk,pt,18,0,0,,,558,0.4756,0.3329,2026-04-05T08:45:57
CONT-B4D7E433,SESS-F2132121,Returns & Refunds,Travel,Partner API,es,1,0,0,1.6,,64,0.5977,0.3351,2026-03-30T22:39:33
CONT-A85B6F34,SESS-0FD0321F,General Inquiry,Healthcare,Kiosk,en,19,1,0,1.5,,1411,1.0,0.79,2026-04-04T01:26:18
CONT-AF6CDA6F,SESS-85CFFF85,Password Reset,Retail,Web,fr,15,0,1,,Billing-Ops,633,0.4264,0.2985,2026-03-24T01:14:27
CONT-59D01799,SESS-634A3B45,Returns & Refunds,Technology,IVR,de,1,1,0,3.4,,28,0.4392,0.6797,2026-03-07T12:23:01
CONT-CEBB3FD5,SESS-71A3A4DF,Technical Troubleshooting,Healthcare,Kiosk,en,19,0,0,,,609,1.0,0.7,2026-03-15T06:11:04
CONT-FF8FA3E1,SESS-CB2A6620,Technical Troubleshooting,Technology,Kiosk,en,17,1,0,,,393,0.3314,0.532,2026-04-04T19:28:32
CONT-BD1E3A02,SESS-646581BC,Billing Inquiry,Technology,Partner API,en,8,0,0,4.9,,270,0.3405,0.4302,2026-03-22T15:51:10
CONT-D02E726B,SESS-EA946221,General Inquiry,Financial Services,Kiosk,fr,11,1,0,1.8,,505,1.0,0.808,2026-04-02T20:58:44
CONT-BF6222E6,SESS-67B9B329,Order Status,Financial Services,IVR,en,7,0,1,3.3,Billing-Ops,266,0.3413,0.3345,2026-03-26T23:41:42
CONT-8AAF18A7,SESS-586E5BEA,Account Management,Retail,Web,es,15,0,1,1.5,Tech-Escalation,1442,0.8099,0.414,2026-03-12T12:12:57
CONT-A62A7151,SESS-73129C71,Billing Inquiry,Retail,Web,en,9,1,0,,,316,0.5492,0.6844,2026-03-23T06:09:49
CONT-5959673E,SESS-C0797779,Technical Troubleshooting,Financial Services,IVR,es,2,1,0,,,73,0.6563,0.7594,2026-03-13T13:40:51
CONT-A8295EA2,SESS-9B8FA231,Account Management,Healthcare,IVR,pt,2,1,0,,,216,0.5234,0.6664,2026-03-17T06:16:43
CONT-2EF202DE,SESS-8273360A,Technical Troubleshooting,Travel,Kiosk,de,17,1,0,,,840,0.4885,0.642,2026-04-01T22:34:47
CONT-71E243E2,SESS-99991517,General Inquiry,Healthcare,Kiosk,en,13,1,0,,,196,0.8542,0.8979,2026-03-14T16:19:14
CONT-A63E9D08,SESS-D7C2C17C,Billing Inquiry,Financial Services,IVR,en,3,0,1,1.7,General-Service,81,0.622,0.3508,2026-03-11T10:22:56
CONT-B56BE049,SESS-CD1E172A,General Inquiry,Retail,Web,en,16,1,0,3.6,,593,0.6266,0.7666,2026-03-17T00:58:26
CONT-9A1FCF19,SESS-1DAD3482,Account Management,Retail,Web,es,18,1,0,4.4,,206,0.4915,0.7606,2026-04-02T17:31:18
CONT-62536980,SESS-1063D78B,General Inquiry,Financial Services,IVR,en,11,1,0,2.4,,305,0.5769,0.6748,2026-03-22T07:09:38
CONT-8593E0F7,SESS-256E7559,Product Support,Financial Services,Kiosk,fr,6,0,1,,General-Service,888,0.441,0.3087,2026-03-14T08:39:16
CONT-247E2449,SESS-3D848601,General Inquiry,Travel,Web,de,14,1,0,,,616,0.5942,0.7159,2026-03-07T11:13:29
CONT-FB10B23F,SESS-C52E63E7,Billing Inquiry,Travel,Partner API,fr,17,0,1,,Tech-Escalation,5091,0.2384,0.1669,2026-03-12T07:37:10
CONT-76BBD915,SESS-D045756C,Product Support,Healthcare,Kiosk,en,19,0,0,,,1578,0.4892,0.3424,2026-03-28T06:56:08
CONT-425D1220,SESS-92AED3B9,Billing Inquiry,Travel,Partner API,en,1,1,0,,,33,0.7574,0.8302,2026-03-16T04:15:58
CONT-9ED0566B,SESS-F6F1B967,General Inquiry,Healthcare,IVR,en,5,1,0,4.0,,375,0.5588,0.7635,2026-04-02T08:51:49
CONT-3D18D14F,SESS-33F0D33B,Order Status,Retail,Mobile App,en,16,1,0,,,891,0.5067,0.6547,2026-03-21T15:38:44
CONT-E6A03AF9,SESS-73999238,Loyalty Program,Financial Services,IVR,en,20,1,0,4.7,,368,0.3157,0.7083,2026-03-25T00:41:22
CONT-8B4C7384,SESS-F8FA1E5C,Subscription Management,Healthcare,Kiosk,en,2,1,0,,,184,0.9237,0.9466,2026-03-28T04:57:53
CONT-8A6546FD,SESS-C71E37ED,Password Reset,Healthcare,IVR,es,15,0,1,3.7,General-Service,328,0.8124,0.547,2026-03-14T05:00:52
CONT-37CF04D0,SESS-3EAAEABA,Technical Troubleshooting,Financial Services,Web,fr,5,1,0,4.7,,524,0.5172,0.7889,2026-03-30T02:54:09
CONT-48B35F21,SESS-50FFB1DD,Order Status,Healthcare,Web,en,10,1,0,,,470,0.518,0.6626,2026-03-28T19:44:55
CONT-DA35E5CA,SESS-6EFBA978,Password Reset,Retail,Partner API,en,17,1,0,,,772,0.4826,0.6378,2026-03-22T22:21:11
CONT-69E21CDA,SESS-BE8462A0,Billing Inquiry,Retail,Kiosk,en,2,0,0,,,89,0.6872,0.481,2026-03-13T05:35:08
CONT-F10A2B29,SESS-37B06239,Product Support,Retail,Partner API,fr,14,0,0,,,374,0.7163,0.5014,2026-03-07T16:56:30
CONT-AB289122,SESS-34F5BC63,General Inquiry,Travel,Web,en,13,1,0,,,563,0.877,0.9139,2026-03-14T08:01:51
CONT-BBD8A2FA,SESS-09C6557D,Returns & Refunds,Financial Services,Kiosk,en,15,0,0,,,2324,0.6892,0.4824,2026-03-30T11:38:14
CONT-F6DE2C17,SESS-177A9B5C,Password Reset,Travel,IVR,en,17,0,1,4.3,Billing-Ops,908,0.7938,0.5755,2026-03-29T16:29:47
CONT-6B737A83,SESS-B019C800,Returns & Refunds,Travel,Kiosk,en,4,0,0,,,161,0.6568,0.4598,2026-04-01T02:46:30
CONT-FDB7ADE1,SESS-BB8C8DE1,Order Status,Travel,Kiosk,es,4,1,0,,,152,0.912,0.9384,2026-04-01T05:05:41
CONT-98A8E3F0,SESS-D1F72ADA,Returns & Refunds,Travel,Mobile App,en,5,1,0,,,445,0.5313,0.6719,2026-03-10T10:16:53
CONT-417EF088,SESS-B98EC9C6,Loyalty Program,Travel,Partner API,en,8,1,0,,,267,0.4375,0.6062,2026-03-28T10:48:52
CONT-591813EB,SESS-5715276F,Subscription Management,Financial Services,Web,es,17,0,0,,,746,0.8848,0.6194,2026-03-18T18:27:49
CONT-909FF5D6,SESS-651AE576,Returns & Refunds,Travel,Mobile App,en,11,0,1,,Tier1-Support,169,0.7008,0.4906,2026-03-29T13:01:27
CONT-969D1A37,SESS-2DC327F8,Order Status,Healthcare,IVR,en,13,1,0,2.0,,698,0.7114,0.7046,2026-03-31T02:15:33
CONT-1F474188,SESS-EB0D4966,Technical Troubleshooting,Retail,Kiosk,en,11,0,0,,,843,0.6532,0.4572,2026-03-19T00:27:45
CONT-8F779F62,SESS-728C5C6C,Billing Inquiry,Technology,Mobile App,fr,7,0,1,,General-Service,459,0.5627,0.3939,2026-03-28T21:22:49
CONT-33735FBA,SESS-B53E8C10,Loyalty Program,Financial Services,Web,en,12,0,1,3.6,General-Service,245,0.7247,0.5059,2026-03-16T15:26:11
CONT-444E252F,SESS-9A3B88BB,Product Support,Technology,IVR,es,1,1,0,,,80,0.5967,0.7177,2026-04-02T11:29:20
CONT-ADE2530E,SESS-280A4624,Loyalty Program,Healthcare,Mobile App,fr,14,1,0,2.3,,361,0.3843,0.5917,2026-03-22T14:38:45
CONT-6ED17195,SESS-5D179A89,Subscription Management,Healthcare,Partner API,en,9,1,0,,,549,0.9239,0.9467,2026-03-07T07:16:25
CONT-646FC26D,SESS-24A39182,Billing Inquiry,Travel,Kiosk,fr,1,0,0,,,73,0.6756,0.4729,2026-03-21T00:47:14
CONT-1B517847,SESS-EE992338,Order Status,Technology,Partner API,en,15,1,0,,,853,0.7107,0.7975,2026-03-31T17:58:04
CONT-A11B4BA3,SESS-FB3A0252,Password Reset,Financial Services,Web,en,17,1,0,,,2172,0.7524,0.8267,2026-04-01T14:24:42
CONT-2EDC12D5,SESS-843B903D,Password Reset,Financial Services,Kiosk,en,20,1,0,3.0,,1305,0.7598,0.7839,2026-03-27T06:25:26
CONT-2A36140F,SESS-FF5E9A63,Password Reset,Retail,IVR,en,19,1,0,4.0,,1262,0.7323,0.8329,2026-03-31T10:03:11
CONT-F52D0085,SESS-A06E5633,General Inquiry,Financial Services,Mobile App,es,10,1,0,1.9,,351,0.5692,0.6417,2026-03-17T18:46:13
CONT-CBC77956,SESS-313118ED,Technical Troubleshooting,Retail,Partner API,de,2,1,0,1.2,,95,0.8348,0.7059,2026-03-08T14:09:35
CONT-028535F7,SESS-BF849457,Product Support,Travel,IVR,es,17,1,0,,,1146,0.7314,0.812,2026-03-17T00:58:07
CONT-6ADC3FEB,SESS-8A55B470,General Inquiry,Healthcare,Kiosk,es,8,1,0,,,253,0.8829,0.918,2026-03-16T09:24:51
CONT-E6E62686,SESS-CA0EFF07,Returns & Refunds,Travel,Partner API,en,2,0,0,1.0,,66,0.6489,0.3196,2026-03-14T19:47:18
CONT-66D637F7,SESS-E5DCD722,Subscription Management,Healthcare,Partner API,en,6,0,1,,Billing-Ops,370,0.5078,0.3555,2026-03-30T06:29:56
CONT-79EBF960,SESS-60134B6A,Password Reset,Travel,Web,en,13,0,1,2.9,Billing-Ops,726,0.4335,0.3474,2026-03-18T07:18:13
CONT-BB2E59F1,SESS-95C4EEC5,Order Status,Retail,Web,en,5,0,0,,,177,0.5175,0.3622,2026-03-25T18:04:34
CONT-43BFC92F,SESS-CE6AEFAD,Billing Inquiry,Retail,Kiosk,en,18,0,1,,Tier1-Support,994,0.7238,0.5067,2026-04-01T22:18:57
CONT-8A6546FD,SESS-99133080,Returns & Refunds,Travel,Web,es,15,0,1,2.6,Billing-Ops,656,0.6996,0.4358,2026-03-14T15:45:03
CONT-D410B9AB,SESS-58B12D74,Technical Troubleshooting,Retail,Web,en,1,1,0,,,22,0.3681,0.5577,2026-03-24T01:53:18
CONT-380DD753,SESS-3E197D16,Password Reset,Retail,Kiosk,ja,7,1,0,3.4,,291,0.4683,0.6913,2026-03-14T11:25:29
CONT-8226BCCC,SESS-71FD1D84,Returns & Refunds,Retail,Kiosk,en,20,1,0,,,600,0.4258,0.5981,2026-03-11T01:26:51
CONT-A658908F,SESS-05EFC0A4,Subscription Management,Healthcare,IVR,en,20,1,0,4.7,,1028,0.4573,0.7649,2026-03-15T14:54:03
CONT-953C7C52,SESS-B45CC244,Subscription Management,Retail,Kiosk,es,13,1,0,,,277,0.2012,0.4408,2026-03-22T22:10:26
CONT-591813EB,SESS-2B8BEA05,Returns & Refunds,Retail,Kiosk,es,19,1,0,,,1549,0.9677,0.9774,2026-03-29T01:01:22
CONT-0F0C1775,SESS-A9A70C28,Technical Troubleshooting,Healthcare,Mobile App,en,7,1,0,2.4,,562,0.5631,0.6692,2026-03-22T13:05:44
CONT-5DA95A95,SESS-A5FE7321,General Inquiry,Retail,Partner API,en,18,1,0,,,768,0.3979,0.5785,2026-03-08T03:12:26
CONT-AABF70C9,SESS-7A632FD5,Loyalty Program,Retail,Partner API,pt,14,1,0,4.4,,262,0.6091,0.8076,2026-03-26T09:22:31
CONT-591813EB,SESS-383A00E5,Order Status,Retail,Mobile App,es,19,1,0,4.3,,1104,0.7661,0.8644,2026-03-08T19:19:01
CONT-E74C721B,SESS-A836AD0F,Account Management,Healthcare,Web,en,12,1,0,3.8,,1182,0.5038,0.7295,2026-03-30T16:35:48
CONT-D96F912D,SESS-AF545C1E,Technical Troubleshooting,Healthcare,Mobile App,en,11,1,0,4.0,,1323,0.8003,0.8601,2026-03-21T01:42:29
CONT-6708B1D6,SESS-46E1E949,Returns & Refunds,Travel,IVR,en,18,1,0,,,990,0.7144,0.8001,2026-03-17T05:09:31
CONT-2A50BFD1,SESS-8D79A134,Product Support,Technology,Web,es,8,1,0,,,511,0.6861,0.7803,2026-03-08T17:11:30
CONT-69CB28EB,SESS-67B0D1C7,Billing Inquiry,Retail,Mobile App,es,18,0,0,,,1116,0.7066,0.4946,2026-04-01T00:06:53
CONT-E26AAE49,SESS-FD754916,Subscription Management,Travel,IVR,en,8,1,0,,,401,0.9703,0.9792,2026-03-15T23:26:43
CONT-4FC9EAA0,SESS-7D862983,General Inquiry,Healthcare,Mobile App,en,7,1,0,3.2,,303,0.3839,0.6456,2026-04-05T11:30:57
CONT-C98C4976,SESS-B2B8FAF7,Subscription Management,Retail,Partner API,en,6,0,1,,Billing-Ops,215,0.8424,0.5897,2026-03-12T04:55:13
CONT-456452E6,SESS-5E4A8B15,Technical Troubleshooting,Financial Services,Mobile App,es,12,1,0,,,492,0.6244,0.7371,2026-04-01T10:16:56
CONT-A296382C,SESS-938E2799,General Inquiry,Technology,Partner API,en,14,0,0,4.6,,853,0.885,0.63,2026-03-31T17:22:20
CONT-C0DE039D,SESS-1BAD254E,Product Support,Technology,Partner API,es,2,1,0,,,68,0.4773,0.6341,2026-04-04T20:42:50
CONT-15FFEF4E,SESS-CAE77260,Account Management,Retail,IVR,en,5,0,0,3.6,,171,0.6813,0.4885,2026-03-11T21:37:56
CONT-F10A2B29,SESS-15CB5849,Password Reset,Healthcare,Partner API,fr,16,1,0,,,1098,0.5483,0.6838,2026-03-14T06:11:26
CONT-523084AA,SESS-913F6CFD,Product Support,Retail,Partner API,es,8,1,0,,,301,0.5445,0.6812,2026-03-13T07:28:06
CONT-D412112D,SESS-6FAB978E,General Inquiry,Retail,Partner API,en,8,0,0,2.0,,1309,0.7913,0.4365,2026-03-23T02:02:06
CONT-5B640BCE,SESS-8807FB2D,Order Status,Healthcare,Web,en,13,1,0,,,385,0.3311,0.5318,2026-03-28T12:26:49
CONT-4C2443FA,SESS-03EB81F9,Technical Troubleshooting,Retail,Partner API,de,8,1,0,3.5,,863,0.7734,0.8194,2026-03-16T07:22:35
CONT-03FDCFCB,SESS-6E9A897C,Returns & Refunds,Retail,IVR,en,12,1,0,,,362,0.8358,0.8851,2026-03-26T20:08:42
CONT-E594B83F,SESS-6D2D1858,Billing Inquiry,Travel,Web,fr,4,1,0,,,83,0.4963,0.6474,2026-03-29T07:59:20
CONT-0B461551,SESS-EF420F0B,Returns & Refunds,Retail,Partner API,zh,13,1,0,,,1853,0.983,0.9881,2026-03-12T23:07:21
CONT-093F336F,SESS-6B1E06B1,Returns & Refunds,Financial Services,Web,pt,11,1,0,,,410,0.6245,0.7372,2026-04-04T21:57:01
CONT-D70FCA3B,SESS-AAB41646,Billing Inquiry,Retail,Partner API,pt,2,1,0,,,40,0.5316,0.6721,2026-03-16T06:15:56
CONT-4E56B438,SESS-572245A0,Product Support,Retail,Kiosk,de,8,1,0,4.4,,551,0.4891,0.7596,2026-04-01T20:45:29
CONT-7ED3869B,SESS-15C4F9CE,Billing Inquiry,Travel,Partner API,en,10,0,0,,,393,0.36,0.252,2026-03-07T01:21:21
CONT-3C8E605F,SESS-EF0E50B3,Loyalty Program,Retail,Web,en,20,0,0,4.1,,623,0.5901,0.482,2026-03-14T16:16:03
CONT-762D0FE3,SESS-C511BB05,Technical Troubleshooting,Healthcare,Mobile App,es,3,0,0,1.9,,55,0.3868,0.2687,2026-04-04T02:12:02
CONT-56AABC66,SESS-FF0ABD6F,Product Support,Travel,Partner API,en,7,0,0,,,407,0.6968,0.4878,2026-03-31T05:21:55
CONT-4C573B36,SESS-C64C2FC4,Billing Inquiry,Travel,Mobile App,en,14,1,0,4.2,,788,0.5222,0.7609,2026-03-22T12:52:16
CONT-62C1A4B9,SESS-3B7C5CA8,General Inquiry,Technology,Kiosk,en,11,0,0,,,310,0.6459,0.4521,2026-03-30T03:50:23
CONT-EE8AD9E4,SESS-1C3E2372,Returns & Refunds,Healthcare,IVR,es,1,1,0,1.4,,33,0.656,0.6464,2026-03-08T15:16:51
CONT-34D9759C,SESS-41253EC9,Returns & Refunds,Healthcare,Kiosk,ja,1,1,0,2.5,,49,0.8825,0.803,2026-03-20T11:27:50
CONT-1DE66AF1,SESS-89DD3AE4,Password Reset,Travel,Partner API,fr,3,1,0,,,56,1.0,1.0,2026-04-01T12:16:59
CONT-C93F67C2,SESS-FF176A2B,Order Status,Technology,Mobile App,ja,17,0,1,2.7,Billing-Ops,532,0.6401,0.418,2026-03-22T02:11:40
CONT-898D1870,SESS-0E8E9B74,General Inquiry,Healthcare,Web,en,18,0,0,,,958,0.4725,0.3308,2026-03-29T12:53:29
CONT-B2DE920C,SESS-8CC434A4,Subscription Management,Technology,Kiosk,en,16,1,0,,,1209,0.4774,0.6342,2026-04-03T01:44:04
CONT-A0BD1C4B,SESS-5715ACB4,Returns & Refunds,Healthcare,IVR,fr,14,0,1,,Billing-Ops,1822,0.868,0.6076,2026-03-15T08:17:52
CONT-A7573B9A,SESS-87FD6FD8,Billing Inquiry,Travel,Partner API,en,2,1,0,,,79,0.9608,0.9726,2026-03-21T08:43:23
CONT-349711DC,SESS-CB4B3CF8,General Inquiry,Technology,Kiosk,en,11,1,0,,,175,0.7448,0.8214,2026-03-12T07:55:30
CONT-9225F7F3,SESS-E387B4CB,Billing Inquiry,Technology,Kiosk,en,15,0,1,,Tech-Escalation,672,0.4304,0.3013,2026-03-21T02:16:29
CONT-CF9A371F,SESS-74C34A56,Technical Troubleshooting,Financial Services,Partner API,ja,7,0,0,,,515,0.5084,0.3559,2026-04-05T14:04:27
CONT-362D676B,SESS-941C6EA9,Loyalty Program,Financial Services,Web,en,14,1,0,,,192,0.3915,0.574,2026-03-27T02:22:06
CONT-CA7EA08B,SESS-51AAB3B6,Loyalty Program,Financial Services,Mobile App,en,11,1,0,,,615,0.7426,0.8198,2026-03-26T08:11:21
CONT-F5DAA93D,SESS-120B7A48,Order Status,Technology,Web,en,8,1,0,,,632,0.5195,0.6637,2026-03-22T18:00:20
CONT-8C203B79,SESS-5387892E,Password Reset,Technology,Kiosk,en,15,0,1,,General-Service,1346,0.6326,0.4428,2026-03-15T15:19:20
CONT-79088EDC,SESS-A67D8AF9,Subscription Management,Technology,Mobile App,en,18,1,0,,,474,0.6512,0.7558,2026-04-01T13:49:21
CONT-7008CB12,SESS-42BF4DED,Loyalty Program,Retail,Mobile App,en,1,1,0,,,39,0.5735,0.7014,2026-03-17T03:52:13
CONT-39CC14A9,SESS-7CF37D78,Billing Inquiry,Retail,Partner API,en,7,1,0,,,262,0.8144,0.8701,2026-03-13T08:06:01
CONT-FCB0889C,SESS-96F0C22D,Password Reset,Financial Services,IVR,es,10,1,0,4.4,,300,0.4584,0.7474,2026-03-20T11:40:43
CONT-2795B856,SESS-CF955CFF,Billing Inquiry,Travel,Partner API,es,3,1,0,,,378,0.5224,0.6657,2026-03-07T17:55:52
CONT-82CAC391,SESS-781A2BA2,Technical Troubleshooting,Retail,Kiosk,en,15,1,0,,,714,0.95,0.965,2026-03-11T06:09:42
CONT-4839BCDC,SESS-EE9C911D,Subscription Management,Healthcare,Mobile App,en,3,1,0,3.3,,158,0.7244,0.7878,2026-03-25T20:39:08
CONT-6BA72231,SESS-239A2DD3,Returns & Refunds,Travel,Partner API,de,3,1,0,3.9,,95,0.6,0.774,2026-03-22T20:10:36
CONT-F388E845,SESS-6A366040,General Inquiry,Healthcare,Web,en,7,0,1,,Tier1-Support,821,0.8307,0.5815,2026-03-21T04:47:05
CONT-8719908C,SESS-5795A65B,Technical Troubleshooting,Healthcare,IVR,en,7,1,0,,,196,0.8328,0.883,2026-03-30T15:09:58
CONT-3939688A,SESS-1833FC22,Subscription Management,Healthcare,IVR,en,2,0,0,,,98,0.6485,0.454,2026-03-30T22:38:59
CONT-D007829E,SESS-A212994F,Returns & Refunds,Healthcare,Kiosk,de,13,0,1,3.7,Tier1-Support,751,0.6269,0.4728,2026-03-20T05:19:33
CONT-E383B52A,SESS-B62ACCD1,Loyalty Program,Technology,Web,zh,17,1,0,,,989,0.5627,0.6939,2026-04-04T14:22:57
CONT-D1D5B0FC,SESS-69CB230B,Returns & Refunds,Financial Services,Web,de,14,1,0,2.7,,1859,0.6549,0.724,2026-03-20T11:15:53
CONT-01C9937B,SESS-87582CF4,Account Management,Retail,IVR,en,15,0,1,,Billing-Ops,646,0.7804,0.5463,2026-04-02T05:01:00
CONT-2AADE8B2,SESS-CC084623,Billing Inquiry,Healthcare,Mobile App,en,2,0,0,,,40,0.4707,0.3295,2026-03-16T18:55:16
CONT-A6F4C76E,SESS-52AED260,Returns & Refunds,Technology,Mobile App,fr,5,0,0,1.6,,182,0.9304,0.4682,2026-03-29T04:15:54
CONT-89612CA3,SESS-B60EDAA2,Account Management,Healthcare,Partner API,en,2,1,0,4.0,,273,0.896,0.8984,2026-03-14T17:36:14
CONT-D3F0C5F5,SESS-F678B3B9,Account Management,Healthcare,Mobile App,en,20,0,0,,,528,0.5216,0.3651,2026-04-05T05:47:59
CONT-3EC1B585,SESS-1A9A6763,Technical Troubleshooting,Healthcare,Mobile App,en,12,0,1,,Billing-Ops,540,0.7305,0.5114,2026-03-08T04:42:14
CONT-AF6E40F4,SESS-D320C8DA,Loyalty Program,Healthcare,IVR,zh,18,1,0,,,804,0.4652,0.6256,2026-03-25T20:08:40
CONT-1BC359F6,SESS-7DA468B0,Loyalty Program,Financial Services,Web,en,11,0,1,,Tech-Escalation,443,0.9442,0.6609,2026-03-27T11:19:08
CONT-F4499583,SESS-8CB36175,General Inquiry,Technology,Web,en,5,0,0,4.6,,50,0.8044,0.5978,2026-03-15T07:26:31
